text,label
rt @janemere: breakfast. #kingsman table manner scene ever got released...? dying see it. http://t.co/siw7mlchx2,0
rt @tfboys_thfans: #junkai # kingsman 2 : golden circle_,1
review: kingsman partner statesman located kentucky every american stereotype abused https://t.co/kjbcjzfu9o,0
--kingsman spoilers-- merlin's end greatest character death i've ever seen. that's want go.,0
24. kingsman. el c rculo de oro. https://t.co/0jxevtjvxh,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom https://t.co/urw8iaytkr,0
infilmercials - kingsman: secret service: https://t.co/xuyusm105w via @youtube,0
gust un video de @youtube https://t.co/g9nhiz4wx1 kingsman 2 director stupidity film's trailer spoiler - ign news,0
rt @meganmoviegirl: halle berry pedro pascal tease romance kingsman 2 characters https://t.co/dpczgxxlsx #movies https://,0
oh kingsman 2 dumb lit,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom https://t.co/hdyyu2ofvi,0
kingsman 2.,1
i'm regal cinemas fredericksburg 14 - @regalmovies kingsman: golden circle fredericksburg va https://t.co/kvollrkzve,0
rt @theellenshow: m telling go see #kingsman @channingtatum &amp; @halleberry friends. case y,1
rt @theellenshow: m telling go see #kingsman @channingtatum &amp; @halleberry friends. case y,1
good stream today gained ten new follower mixer great day go see kingsman tonight 6,0
date night bubba-do watching kingsman: golden circle ridge park cinemas https://t.co/oovztkfsiy,0
liked @youtube video https://t.co/efvlq7zqhc make real: kingsman umbrella gun!,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom https://t.co/grv2jdsdav,0
go together @theellenshow !! https://t.co/k7c13qzw1v,1
kingsman: golden circle amazing! @taronegerton definitely knows wear suit _ #kingsman #thegoldencircle #mannersmakethman,0
caraca n posso perder esse novo kingsman,0
wanna see kingsman,0
review: kingsman partner statesman located kentucky every american stereotype abused https://t.co/q284hxfqov ww,0
rt @gotseries_newz: sex symbol 'game thrones ' pedro pascal moment 'narcos' 'kingsman',0
kingsman: golden circle cinemas here's interview taron egerton last year:... https://t.co/l5ktdmktfd,1
rt @joblocom: matthew vaughn begged fox spoil colin firth's return kingsman 2 https://t.co/iik8tq8ukw https://t.co/gkupjsejv1,0
rt @thejeffbridges: i'm supporting @helpforheroes #orangejacketchallenge nomination @channingtatum passing,1
almost like straight crying kingsman mood rn,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom https://t.co/61lum5yxuo,0
kingsman soooooo good,0
rt @theellenshow: m telling go see #kingsman @channingtatum &amp; @halleberry friends. case y,0
#mahirakhan https://t.co/p4kk3xm2xn,1
liked @youtube video https://t.co/oubcqsclks kingsman: golden circle | official trailer 2 [hd] | 20th century fox,0
rt @arielrocks5: kingsman franchise r rated agent cody banks.,0
@pdpatt m okc tonight. tryna go see kingsman?,0
liked @youtube video https://t.co/o6acrfymqb kingsman: golden circle - movie review,0
rt @jamielebon74: #boycotthollywood https://t.co/pfzf1o6vgk,0
good chunk say wrong kingsman: golden circle good chunk say right kingsman today.,0
hasta el mi_rcoles podr_ ver #kingsman #elc rculodeoro.,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom https://t.co/zfzc7jv86q,0
rt @thisbemesara: pug first kingsman movie attended premiere kingsman golden circle london hes wearing,0
also *stares longingly kingsman*,0
rt @theellenshow: m telling go see #kingsman @channingtatum &amp; @halleberry friends. case y,0
https://t.co/tdzaftr1xv #mahirakhan #socialitelawyer #ranbirkapoor #peacefulpakistan #kingsman #florencespeech #gagafivefoottwo #dotard,0
kingsman today think yes:),0
rt @joblocom: matthew vaughn begged fox spoil colin firth's return kingsman 2 https://t.co/iik8tq8ukw https://t.co/gkupjsejv1,0
hopefully kingsman movie beats first one.,0
rt @gaykoriandr: character kingsman talking vs roxy breathes https://t.co/oas78takmd,0
