text,label
rt USER_MENTION breakfast. #kingsman table manner scene ever got released...? dying see it. URL,0
rt USER_MENTION #junkai # kingsman 2 : golden circle_,1
review: kingsman partner statesman located kentucky every american stereotype abused URL,0
--kingsman spoilers-- merlin's end greatest character death i've ever seen. that's want go.,0
24. kingsman. el c rculo de oro. URL,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
infilmercials - kingsman: secret service: URL via USER_MENTION,0
gust un video de USER_MENTION URL kingsman 2 director stupidity film's trailer spoiler - ign news,0
rt USER_MENTION halle berry pedro pascal tease romance kingsman 2 characters URL #movies URL,0
oh kingsman 2 dumb lit,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
kingsman 2.,1
i'm regal cinemas fredericksburg 14 - USER_MENTION kingsman: golden circle fredericksburg va URL,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,1
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,1
good stream today gained ten new follower mixer great day go see kingsman tonight 6,0
date night bubba-do watching kingsman: golden circle ridge park cinemas URL,0
liked USER_MENTION video URL make real: kingsman umbrella gun!,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
go together USER_MENTION !! URL,1
kingsman: golden circle amazing! USER_MENTION definitely knows wear suit _ #kingsman #thegoldencircle #mannersmakethman,0
caraca n posso perder esse novo kingsman,0
wanna see kingsman,0
review: kingsman partner statesman located kentucky every american stereotype abused URL ww,0
rt USER_MENTION sex symbol 'game thrones ' pedro pascal moment 'narcos' 'kingsman',0
kingsman: golden circle cinemas here's interview taron egerton last year:... URL,1
rt USER_MENTION matthew vaughn begged fox spoil colin firth's return kingsman 2 URL URL,0
rt USER_MENTION i'm supporting USER_MENTION #orangejacketchallenge nomination USER_MENTION passing,1
almost like straight crying kingsman mood rn,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
kingsman soooooo good,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
#mahirakhan URL,1
liked USER_MENTION video URL kingsman: golden circle | official trailer 2 [hd] | 20th century fox,0
rt USER_MENTION kingsman franchise r rated agent cody banks.,0
USER_MENTION m okc tonight. tryna go see kingsman?,0
liked USER_MENTION video URL kingsman: golden circle - movie review,0
rt USER_MENTION #boycotthollywood URL,0
good chunk say wrong kingsman: golden circle good chunk say right kingsman today.,0
hasta el mi_rcoles podr_ ver #kingsman #elc rculodeoro.,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
rt USER_MENTION pug first kingsman movie attended premiere kingsman golden circle london hes wearing,0
also *stares longingly kingsman*,0
rt USER_MENTION m telling go see #kingsman USER_MENTION &amp; USER_MENTION friends. case y,0
URL #mahirakhan #socialitelawyer #ranbirkapoor #peacefulpakistan #kingsman #florencespeech #gagafivefoottwo #dotard,0
kingsman today think yes:),0
rt USER_MENTION matthew vaughn begged fox spoil colin firth's return kingsman 2 URL URL,0
hopefully kingsman movie beats first one.,0
rt USER_MENTION character kingsman talking vs roxy breathes URL,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
URL,0
URL,0
URL,0
kingsman secret service - hd $3.99 USER_MENTION amazon video URL,1
_kingsman: (2017). 8 10 URL #kinopoisk #vkino,1
rt USER_MENTION pug first kingsman movie attended premiere kingsman golden circle london hes wearing,0
awesome movie watching kingsman: golden circle pvr cinemas saket - anupam saket URL,0
kingsmen golden circle,0
rt USER_MENTION + enter win #kingsman prize pack see film. reserve seat - URL URL,1
rt USER_MENTION kingsman meet archer. oh binge drinking. #kingsman: golden circle theaters now. URL htt,0
rt USER_MENTION matthew vaughn begged fox spoil colin firth's return kingsman 2 URL URL,0
beatiful URL,1
rt USER_MENTION rt &amp; tell us go-to spy gadget would entered win USER_MENTION USER_MENTION,1
'#kingsman: #goldencircle' repulsive idiotic movie year: toofab review URL,0
rt USER_MENTION minute media uses dynamic capabilities tailor interactive video interscroller USER_MENTION golden cir,0
rt USER_MENTION sex symbol 'game thrones ' pedro pascal moment 'narcos' 'kingsman',0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
rt USER_MENTION kingsman franchise r rated agent cody banks.,0
kingsman 2 golden circle: channing tatum sex toy chaos revealed spent_$1500! URL URL,1
#kingsman looking forward seeing first one surprised lot sat like _ bring shitiness yeah good.,0
#dontjudgeabookbyitscover #comedy #lmao #kingsman #ios11 #kyliejenner URL,1
need eggsy URL,1
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
rt USER_MENTION all. hail. the_#kingsman. theaters now! URL URL,0
rt USER_MENTION pug first kingsman movie attended premiere kingsman golden circle london hes wearing,0
call shelley moore capito 202-224-6472 john mccain 202-224-2235 tell thm vote disgustg trumpcare helthcar URL,1
kingsman: golden circle movie review- reel URL via USER_MENTION,0
rt USER_MENTION kingsman: golden circle post-credits scene wait around for? answer: URL URL,0
gick p_ mitt livs f rsta verraskningsbio ikv ll visste inte vilken film det var f rr n den startade. visade sig vara kingsman 2.,1
rt USER_MENTION os pr ximos 3 v deos canal devem ser sobre first killed father kingsman 2 e ghost story (n_o necessariament,1
rt USER_MENTION training wheels. off. #kingsman: golden circle playing. get way can.,0
kingsman: golden circle. dumb fun go watch.,0
finally watched kingsman: secret service...the exploding head finale glorious.,0
rt USER_MENTION #kingsman incomplete without weapons! go #instagram page (@moviesnowtv) next activity!,1
rt USER_MENTION kingsman secret service 2014 URL,0
rt USER_MENTION kingsman: golden circle !! bastards use russian lingo!,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
rt USER_MENTION ros: los modales hacen al hombre. sabeis lo significa? permitidme os instruya. #kingsman #cinesaangels,1
USER_MENTION well cant wait see kingsman 2 monday night,0
rt USER_MENTION howard kingsman film interview mark &amp; gary talking lovely wedding respect that.,0
rt USER_MENTION kingsman secret service 2014 URL,0
win kingsman: golden circle prize pack! URL,1
rt USER_MENTION manners maketh good boy URL,0
kingsman!!!! &amp; best 3 hrs life _,0
kingsman: golden circle sooooo good!!,0
#kingsman - .,1
nan,0
rt USER_MENTION maybe ve heard them? 5 reasons #kingsman: golden circle must-see bruv. URL,0
kingsman sequel soooooo good!,0
rt USER_MENTION hit red carpet #kingsman stars taron egerton colin firth halle berry jeff bridges julianne moor,1
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
rt USER_MENTION review - kingsman: golden circle plenty action URL URL,0
rt USER_MENTION maybe ve heard them? 5 reasons #kingsman: golden circle must-see bruv. URL,0
pero c mo puede tener tanta pintaza la de kingsman,1
rt USER_MENTION URL,1
rt USER_MENTION brawn meet brains. kindly put knife away? #kingsman theaters now! URL,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
initial reaction kingsman 2 got elton john stole whole damn show. god talk comedic relief!,0
kingsman: golden circle ok underwhelming.,0
rt USER_MENTION kingsman 2 classic trash?,0
USER_MENTION #minidoge opinion new kingsman movie?,0
USER_MENTION yes! kingsman huber!,0
ye olde cock tavern fleet st london. photo veronik. | #architecture #viajar #kingsman #tradingwisdom URL,0
retweeted subway fight videos (@subwayfightvids):,1
nan,1
okay random #kingsman really reminded totally spies. _ URL,0
va rodar bolsinha URL,1
rt USER_MENTION kingsman: golden circle can't sell good time,0
nan,1
one told bruce greenwood emily watson also going kingsman 2,0
curious colin firth's harry comes back dead #kingsman2? here's answer: URL,0
rt USER_MENTION matthew vaughn begged fox spoil colin firth's return kingsman 2 URL URL,0
rt USER_MENTION matthew vaughn begged fox spoil colin firth's return kingsman 2 URL URL,0
rt USER_MENTION aaaaaa USER_MENTION URL,0
URL,1
pues ha gustado mucho #kingsman. siguiendo el ritmo de su predecesora. sin duda encanta el espionaje! #cinesaangels,1
rt USER_MENTION kingsman - 10/10,0
nan,1
rt USER_MENTION join gang URL,1
rt USER_MENTION &amp;_ - _ #kingsman,1
kingsman long ass film fuckers fighting like 4hours omfg,0
quality sequel kingsman elton john bloke,0
watching: kingsman: golden circle,0
rt USER_MENTION fans loving kingsman: golden circle ! URL URL,0
rt USER_MENTION awesome time premiere. asking suit courtesy USER_MENTION - thanks guys!,0
rt USER_MENTION kingsman secret service 2014 URL,0
rt USER_MENTION weekend box office: 'kingsman: golden circle' earns $3.4m thursday night URL,0
new kingsman film soo good.,0
colin firth 007 per ridere kingsman: il cerchio d oro _ URL,1
rt USER_MENTION neeeeed go watch new kingsman,0
halle berry pedro pascal tease romance kingsman 2 characters URL URL,0
rt USER_MENTION hiya hollywood,1
nan,1
'kingsman: golden circle' building bigger better james bond bespoke british spy license URL,0
#kingsman today! ahhhhhhh,0
kingsman - golden circle. lit.,0
can't wait watch kingsman! wants see it?! #kingsman,0
wait see this! URL,1
rt USER_MENTION im tryna go see kingsman movie first one really good.,0
rt USER_MENTION URL #kingsman #peaceday #iheartfestival #wannaone #kyliejenner #eastenders #music #hiphop #rap #ly,1
didn say yesterday kingsman golden circle awesome went beyond expectations #kingsman,0
'kingsman: golden circle' building bigger better james URL #entertainment_movies URL,0
#kingsman : el c rculo de oro #colinfirth y #jeffbrigdes dispuestos participar en una tercera entrega URL,1
'kingsman: golden circle' building bigger better james URL #entertainment_movies URL,0
elton john like best part kingsman 2,0
rt USER_MENTION maybe ve heard them? 5 reasons #kingsman: golden circle must-see bruv. URL,0
rt USER_MENTION awesome time premiere. asking suit courtesy USER_MENTION - thanks guys!,0
'kingsman: golden circle' building bigger better james URL #entertainment_movies URL,0
never gonna take elton john seriously watching kingsman_,0
